,review_id,business_id,rating,text
0,IZ8aKAxX-yLPDxNSR-EPFg,4qS4kIbGlGfswmUY-o37_g,5,Fantastic - definitely stop in if you're in the city - you won't regret it!
1,noxmVaUpwHoOs_tV9LSFiA,4qS4kIbGlGfswmUY-o37_g,5,"Le Kitchen Cafe is a gem! Very cute restaurant with wonderful people and service. 

Came for breakfast and left delighted. The soy marinated egg and trout..."
2,BP-32C1rkBei5S_pCVHR1g,4qS4kIbGlGfswmUY-o37_g,5,"This place is the Hendrix among rock stars. 

They dont do what everyone else is doing, but what they do is creative, unique, and simply incredible at its..."
3,Eeq8JbEtklFl3gagXG7gsg,0Q6D2bIHg29kkJfCGKvK5g,3,"Minus 1 star for saying one sample per person when they have so many flavors. 

I did manage to convince them to let me sample a few before I was cut off....."
4,LRttq5BQQXPtUcuvL8sclQ,0Q6D2bIHg29kkJfCGKvK5g,5,"This gelato spot is located along Rue Saint-Jean, which is full of brand name ice cream and gelato spots to choose from. But Glacier Terre Adélice is the..."
5,sKI6lHWHRN6ixkdGlQ-Lwg,0Q6D2bIHg29kkJfCGKvK5g,4,"Quality ice cream and sorbet with unusual flavors, but super small portions (though most shops in France seem to give very little). The apricot lavender..."
6,Of__Wnsl4Q2-GV19UjtyGQ,3jQNghUugf3Gf1P5Tl1ohQ,5,"I have to give it 5 stars, it is a free zoo in the middle of the park and you can easily see thing like monkeys, lions, zebras, giraffes, etc.

I'm not sure..."
7,D0FmCfUE3PPDCdQTpO5row,3jQNghUugf3Gf1P5Tl1ohQ,4,"This is a very pleasant park for a stroll. I was staying at the Marriott, which backed up to this area. I had just arrived in Europe from the US and needed..."
8,saNeXn9hA8X6uabOn44uQA,3jQNghUugf3Gf1P5Tl1ohQ,5,"I absolutely love this parc. It's just beautiful with so much to do and see. And because it's so big, even when it's crowded you can still find a quiet..."
9,Sjx4C6yAb72uA09IocVyCA,Fte1-kwm_jo5cumIVyBsbw,5,"Best donuts, period. Yes, better than Donut Man in LA and Voodoo Doghnuts in Portland. Coolest owner. Friendly foodie with tips for other places to visit(I..."
10,B9uMlEpgOPisIPGUSQHZRA,Fte1-kwm_jo5cumIVyBsbw,5,"Best donuts in Lyon, hands down! Run and grab yourself one (or three) the owner lived in Brooklyn and so they're the real deal!"
